"Year","imdbRating","budget_raw","worldwide_raw","domestic_raw","big_money","avg_prior_Actors_total","avg_prior_Actors_ratio","avg_prior_Writer_total","avg_prior_Writer_ratio","avg_prior_Director_total","avg_prior_Director_ratio","Comedy","Drama","Romance","Adventure","Family","Horror","Mystery","Action","Crime","Fantasy","Thriller","Sci-Fi","History","Documentary","Music","Animation","Biography","Musical","Sport","Western","War"
2008,6.4,4000000,384244,294244,-1,15505203.5,1.21985465151515,1554328,0.0829260232258065,1554328,0.0829260232258065,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,6.8,9800000,17144025,16044025,-1,2797855.75,2.61523716666667,0,1,169863226,9.70647005714286,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,6.3,57000000,38329114,28328132,-1,124101367.375,2.25928189458391,0,1,226199038.333333,2.86191636595442,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,5,25000000,58240458,47545060,1,28270536.4,2.58351333913043,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7.5,8000000,18959424,18848430,1,56794838.6,1.81836358361345,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,5.2,40000000,9351567,659210,-1,249676909.2,2.89178057672605,0,1,92094360,9.209436,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,5.5,155000000,167297191,34297191,-1,104239396.285714,1.9324012947834,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2004,6.2,40000000,35195939,13395939,-1,61294354.3333333,1.14939431575027,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6.7,109000000,87683966,58183966,-1,78469917.25,1.39391784858156,136706683,4.55688943333333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2009,5.4,45000000,59551283,25200412,-1,68598220,6.98620181818182,556559566,7.42079421333333,37803424.5,1.28451123518519,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,4.8,15000000,40127259,33862903,1,180054828.647059,4.9523842506261,70187088,2.00534537142857,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,7.6,9000000,184255,184255,-1,1079124.25,0.929854041666667,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,6.2,55000000,9521458,7221458,-1,95155227.7,2.10948136769272,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2000,5.8,45000000,18120267,15527125,-1,17236015.6,0.883605555666667,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2003,7,1000000,703020,549666,-1,3054841.75,0.87219367,342722,8.16004761904762,342722,8.16004761904762,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,8,60000000,47371191,32522352,-1,11503438.75,0.963576142857143,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2005,2.3,20000000,8178569,5178569,-1,12093378.5,0.943836479591615,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6.3,28000000,105159085,74058698,1,28410898,1.40253042678571,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2004,5.9,42000000,173044410,88073507,1,94383836.9090909,2.49022990361859,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,5.3,55000000,360578644,217326974,1,104537443,1.72410872023018,0,1,17292381,1.44103175,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,4.4,70000000,443483213,219614612,1,198651931.545455,3.43007440383132,248122293.75,3.35420639597902,61171897,1.15224425016611,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,5.8,40000000,19756077,14279575,-1,145598582.470588,2.77110097719973,0,1,22109853.3333333,8.57564519551009,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
