"Year","imdbRating","budget_raw","worldwide_raw","domestic_raw","big_money","avg_prior_Actors_total","avg_prior_Actors_ratio","avg_prior_Writer_total","avg_prior_Writer_ratio","avg_prior_Director_total","avg_prior_Director_ratio","Comedy","Drama","Romance","Biography","History","Adventure","Horror","Mystery","Action","Crime","Fantasy","Thriller","Sci-Fi","Sport","Documentary","Music","Animation","Family","Musical","War","Western"
2006,7.1,2e+07,7405084,5501616,-1,91051551.9615385,2.4645278858374,151429842.333333,1.71997384820261,11293790,5.646895,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2009,7,7e+06,30360570,9228788,1,0,1,142068714.75,4.40163423610039,106208825.2,3.11713334901891,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7.6,7e+06,28142379,9176000,1,80444901.8421053,2.21365422234568,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,5.9,4e+07,18450127,18450127,-1,212721042.105263,3.63551694914493,360514797.5,4.42413828193042,68886187.5,1.148103125,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7.8,5.5e+07,59606587,6167817,-1,3539188.25,1.103918825,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,7.4,1.1e+07,46060915,41227069,1,0,1,0,1,94728529,3.38316175,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,4.8,2.5e+07,12219367,10719367,-1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,4.9,3.5e+07,86648359,28087155,1,122156010.294118,2.12614704861614,0,1,119149663.666667,2.66240473040936,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2002,7.1,2.7e+07,129949664,40803000,1,0,1,0,1,71172251,2.37240836666667,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,7.2,3e+07,105823486,65005217,1,7721445.25,0.999078879032258,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
